Processes: 406 total, 2 running, 404 sleeping, 1604 threads 
2018/10/10 16:34:20
Load Avg: 2.02, 2.24, 2.00 
CPU usage: 9.18% user, 22.44% sys, 68.36% idle 
SharedLibs: 239M resident, 65M data, 24M linkedit.
MemRegions: 68151 total, 3376M resident, 94M private, 623M shared.
PhysMem: 8150M used (1519M wired), 41M unused.
VM: 2500G vsize, 1313M framework vsize, 639804(0) swapins, 686930(0) swapouts.
Networks: packets: 1232368/1406M in, 906203/92M out.
Disks: 662728/12G read, 684821/11G written.

PID   COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW     MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
3994  VTDecoderXPCServ 0.0  00:00.27 2     1   58+    7636K+ 0B     4116K+ 3994 1    sleeping *0[15+]     0.00000 0.00000    501 14739+   210+    12107+    5008+     2557+     8371+     1635+      272+    4        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3635  MTLCompilerServi 0.0  00:00.24 2     2   23+    7168K+ 0B     2764K+ 3635 1    sleeping *0[24+]     0.00000 0.00000    501 6227+    439+    276+      80+       1227+     508+      690+       1+      3        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3628  Preview          0.0  00:39.81 5     2   299+   57M+   4560K+ 8044K+ 3628 1    sleeping *0[541+]    0.00000 0.00000    501 201053+  1754+   214867+   41788+    290272+   506007+   311245+    1478+   6657     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3625  com.apple.Safari 0.0  00:01.09 4     1   158+   5132K+ 0B     2152K+ 3625 1    sleeping  0[925+]    0.00000 0.00000    501 10122+   291+    12014+    4645+     16680+    43356+    24605+     6+      426      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3618  MTLCompilerServi 0.0  00:00.20 2     2   23+    7832K+ 0B     7740K+ 3618 1    sleeping *0[16+]     0.00000 0.00000    501 5503+    439+    220+      63+       1119+     423+      477+       345+    4        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3615  com.apple.WebKit 0.0  00:24.73 7     1   129+   95M+   0B     73M+   3615 1    sleeping  0[13894+]  0.00000 0.00000    501 123855+  671+    109371+   51753+    235795+   340526+   187293+    293+    2731     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3390  memcached        0.0  00:04.65 10    0   27+    2324K+ 0B     1952K+ 738  1    sleeping *0[1+]      0.00000 0.00000    501 922+     109+    46+       17+       114100+   122+      129233+    47+     73026    0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3253  bash             0.0  00:00.01 1     0   21+    792K+  0B     784K+  3253 3252 sleeping *0[1+]      0.00000 0.00000    501 969+     292+    79+       30+       1069+     155+      89+        11+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3252  login            0.0  00:00.03 2     1   31+    1008K+ 0B     1000K+ 3252 3014 sleeping *0[9+]      0.00000 0.00000    0   1718+    187+    123+      30+       1382+     257+      250+       41+     0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3026  ssh-agent        0.0  00:00.03 1     0   21+    824K+  0B     816K+  3026 1    sleeping *0[1+]      0.00000 0.00000    501 1539+    154+    87+       28+       391+      204+      114+       92+     0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3023  Notes            0.0  00:23.06 5     1   369+   40M+   128K+  19M+   3023 1    sleeping  0[1023+]   0.00000 0.00000    501 67840+   761+    149391+   46003+    218717+   352709+   195924+    1680+   5280     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3016  bash             0.0  00:00.07 1     0   21+    796K+  0B     368K+  3016 3015 sleeping *0[1+]      0.00000 0.00000    501 1356+    457+    87+       34+       5009+     161+      373+       2+      0        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3015  login            0.0  00:00.04 2     1   30+    1064K+ 0B     1056K+ 3015 3014 sleeping *0[9+]      0.00000 0.00000    0   1741+    191+    123+      30+       2148+     257+      389+       7+      1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
3014  Terminal         0.0  00:35.16 6     1   285+   30M+   16K+   10M+   3014 1    sleeping  0[1245+]   0.00000 0.00000    501 164246+  1147+   203627+   51603+    218578+   585832+   224794+    960+    8218     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3004  Upwork Helper    0.0  58:53.66 21    1   194+   219M+  0B     79M+   2999 2999 sleeping *0[1+]      0.00000 0.00000    501 1474818+ 1169+   4298913+  408921+   8830542+  41468845+ 10446367+  3051+   1056192  0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3002  crashpad_handler 0.0  00:00.04 4     1   42+    1060K+ 0B     676K+  3001 1    sleeping *0[1+]      0.00000 0.00000    501 2643+    161+    50+       18+       696+      184+      148+       64+     21       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
3000  cmon             0.0  00:01.99 1     0   14+    484K+  0B     452K+  2999 2999 sleeping *0[1+]      0.00000 0.00000    501 564+     113+    31+       13+       69443+    67+       36904+     18+     15739    0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2999  Upwork           0.0  11:50.44 45    1   464+   114M+  0B     57M+   2999 1    sleeping *0[1135+]   0.00000 0.00000    501 284939+  3483+   14080734+ 6704541+  13051175+ 32168636+ 5394244+   7934+   398587   0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2965  PerfPowerService 0.0  00:11.41 2     1   107+   7004K+ 256K+  1540K+ 2965 1    sleeping *0[165+]    0.00000 0.00000    0   27730+   200+    29142+    15212+    154814+   57579+    70151+     1372+   1153     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2922  com.apple.audio. 0.0  00:00.02 2     2   14+    836K+  0B     832K+  2922 1    sleeping *0[2+]      0.00000 0.00000    501 2564+    142+    100+      34+       446+      214+      129+       13+     1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2914  reversetemplated 0.0  00:00.39 3     1   45+    11M+   0B     9104K+ 2914 1    sleeping *0[460+]    0.00000 0.00000    501 13997+   199+    2361+     900+      5171+     4611+     4409+      318+    51       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2913  com.apple.WebKit 0.0  00:04.73 6     2   97+    14M+   0B     7860K+ 2913 1    sleeping *0[716+]    0.00000 0.00000    501 16392+   257+    18958+    12714+    130641+   94213+    80461+     513+    6422     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2911  recentsd         0.0  00:00.23 2     1   64+    2852K+ 0B     1864K+ 2911 1    sleeping *0[56+]     0.00000 0.00000    501 5107+    198+    1088+     482+      2648+     2256+     1549+      183+    21       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2910  MTLCompilerServi 0.0  00:00.30 2     2   23+    9420K+ 0B     9412K+ 2910 1    sleeping *0[23+]     0.00000 0.00000    501 7077+    441+    247+      75+       1512+     485+      376+       471+    3        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2908  Mail             0.0  01:25.94 8     1   449+   81M+   256K+  17M+   2908 1    sleeping  0[1576+]   0.00000 0.00000    501 149169+  2018+   237952+   90963+    758305+   589205+   441200+    5595+   5900     0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2896  com.apple.Dictio 0.0  00:00.08 2     2   30+    1756K+ 0B     1396K+ 2896 1    sleeping *0[1+]      0.00000 0.00000    501 2288+    140+    1021+     282+      2473+     2120+     1219+      3+      14       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2627  com.apple.siri-d 0.0  00:00.05 2     1   33+    1088K+ 0B     1064K+ 2627 1    sleeping *0[4+]      0.00000 0.00000    501 2581+    142+    132+      43+       595+      298+      243+       290+    1        0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2620  QuickLookUIServi 0.0  00:01.64 4     1   150+   4584K+ 0B     2492K+ 2620 1    sleeping  0[1188+]   0.00000 0.00000    501 8503+    348+    18839+    6967+     25859+    66111+    36858+     120+    716      0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2553  sandboxd         0.0  00:01.48 5     4   67+    2404K+ 0B     1688K+ 2553 1    sleeping *0[1+]      0.00000 0.00000    0   7446+    160+    2388+     1123+     60938+    3294+     29385+     240+    7166     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2318  applessdstatisti 0.0  00:00.02 2     1   33+    732K+  0B     728K+  2318 1    sleeping *0[1+]      0.00000 0.00000    0   1466+    128+    75+       33+       370+      182+      54+        3+      0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2310  com.apple.MediaL 0.0  00:00.87 2     1   101+   10M+   0B     9724K+ 2310 1    sleeping *0[16+]     0.00000 0.00000    501 19982+   1022+   1033+     2449+     10165+    4325+     7108+      942+    67       0.0   0      0      mdmxlager          N/A    N/A   N/A   N/A   N/A   N/A  
2306  installd         0.0  00:00.48 2     1   64+    23M+   0B     16M+   2306 1    sleeping *0[2+]      0.00000 0.00000    0   10722+   224+    873+      964+      15698+    2579+     5956+      64+     32       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2305  system_installd  0.0  00:00.05 2     1   34+    1324K+ 0B     1292K+ 2305 1    sleeping  0[0]       0.00000 0.00000    0   3699+    165+    235+      187+      1015+     726+      555+       10+     8        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2271  periodic-wrapper 0.0  00:00.01 2     2   28+    388K+  0B     380K+  2271 1    sleeping *0[1+]      0.00000 0.00000    0   427+     78+     72+       30+       216+      175+      45+        1+      1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2270  mdworker         0.0  00:00.52 2     1   42+    2976K+ 0B     2968K+ 2270 1    sleeping *0[1+]      0.00000 0.00000    89  4577+    191+    296+      206+      10281+    872+      1056+      16+     8        0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
